Every Breath You Take;The Police;Synchronicity;1983;https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e;https://open.spotify.com/embed/track/1JSTJqkT5qHq8MDJnJbRE1?utm_source=generator;https://www.youtube.com/embed/OMOGaugKpzs?si=D0XGLSA1vnerBd4v;The Police - Every Breath You Take (Official Music Video).mp3,
Patience;Guns N' Roses;G N' R Lies;1988;https://images-na.ssl-images-amazon.com/images/I/81RbO7t-fmL._SL1200_.jpg;https://open.spotify.com/embed/track/7D5n2kpYH2WSqIyEO9MeXf;https://www.youtube.com/embed/ErvgV4P6Fzc;Guns N' Roses - Patience (LYRICS).mp3,
I Took A Pill In Ibiza (Seeb Remix);Mike Posner;At Night, Alone.;2016;https://m.media-amazon.com/images/I/413CodKokLL._UXNaN_FMjpg_QL85_.jpg;https://open.spotify.com/embed/track/0vbtURX4qv1l7besfwmnD8?utm_source=generator;https://www.youtube.com/embed/foE1mO2yM04?si=H2QBshi9_cy9mUkL;Mike Posner- I Took A Pill In Ibiza (lyrics).mp3,
Sweet Child O' Mine;Guns N' Roses;Appetite For Destruction;1987;https://i.ytimg.com/vi/T0ZmErXkbxE/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLAaqWc6ZjlsqJ3K8NmEmMP5zi0N7g;https://open.spotify.com/embed/track/7snQQk1zcKl8gZ92AnueZW?utm_source=generator;https://www.youtube.com/embed/1w7OgIMMRc4?si=TjDFDlnn_aGSgnuj;Guns N' Roses - Sweet Child O' Mine (Official Music Video).mp3,
The Real Slim Shady;Eminem;The Marshall Mathers LP;2000;https://www.udiscovermusic.com/wp-content/uploads/2019/05/Eminem-The-Marshall-Mathers-LP.jpg;https://open.spotify.com/embed/track/3yfqSUWxFvZELEM4PmlwIR;https://www.youtube.com/embed/eJO5HU_7_1w;The Real Slim Shady.mp3,
The Less I Know The Better;Tame Impala;Currents;2015;https://upload.wikimedia.org/wikipedia/en/9/9b/Tame_Impala_-_Currents.png;https://open.spotify.com/embed/track/6K4t31amVTZDgR3sKmwUJJ;https://www.youtube.com/embed/sBzrzS1Ag_g;Tame Impala - The Less I Know The Better (Audio).mp3,
Memory Reboot;VØJ, Narvent;Memory Reboot;2023;https://i1.sndcdn.com/artworks-8zY79hHzgzoNqx9O-qPGziw-t500x500.jpg;https://open.spotify.com/embed/track/1A7qPfbcyRVEdcZiwTFhZI?utm_source=generator;https://www.youtube.com/embed/wL8DVHuWI7Y?si=TOoavfKrP1O2An7Q;VØJ, Narvent - Memory Reboot (4K Music Video).mp3,
Save Your Tears (Remix);The Weeknd & Ariana Grande;After Hours;2021;https://i.scdn.co/image/ab67616d0000b273c6af5ffa661a365b77df6ef6;https://open.spotify.com/embed/track/37BZB0z9T8Xu7U3e65qxFy?utm_source=generator;https://www.youtube.com/embed/LIIDh-qI9oI?si=BqB8VIs4cK88eofh;The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video).mp3,
Radio Gaga;Queen;The Works;1984;https://i.scdn.co/image/ab67616d0000b273dc386376636cb6b383221fd8;https://open.spotify.com/embed/track/1nQRg9q9uwALGzouOX5OyQ?utm_source=generator;https://www.youtube.com/embed/azdwsXLmrHE?si=bQVx1rXwil5o4QIz;Queen - Radio Ga Ga (Official Video).mp3,
Dancin (feat. Luvli) [Krono Remix];Aaron Smith, Krono;Dancin - Single;2014;https://cdns-images.dzcdn.net/images/cover/a26e476def6a65078e518e95a961fd7f/500x500.jpg;https://open.spotify.com/embed/track/6WkJ2OK163XXS2oARUC9JM?utm_source=generator;https://www.youtube.com/embed/6Nb-prB-4P0;Aaron Smith - Dancin (KRONO Remix) - Lyrics.mp3,
Angel;Rammstein;Sehnsucht;1997;https://i.scdn.co/image/ab67616d0000b27354cd52e1249f6a97d8f2ddc9;https://open.spotify.com/embed/track/0xrkyEMkG4dVa5OMLQZOX8?utm_source=generator;https://www.youtube.com/embed/x2rQzv8OWEY?si=CP2oGhRWlZJur0ME;Rammstein - Engel (Official Video).mp3,
Viva La Vida;Coldplay;Viva La Vida or Death and All His Friends;2008;https://i1.sndcdn.com/artworks-000348927087-m9yc8i-t500x500.jpg;https://open.spotify.com/embed/track/1mea3bSkSGXuIRvnydlB5b;https://www.youtube.com/embed/dvgZkm1xWPE;Coldplay - Viva La Vida (Official Video).mp3,
QLONA;KAROL G & Peso Pluma;Mañana Será Bonito (Bichota Season);2023;https://i.ytimg.com/vi/XNBky7d9P9Q/maxresdefault.jpg;https://open.spotify.com/embed/track/3XB5uhhlYSnkxpSihkNQwh?utm_source=generator;https://www.youtube.com/embed/BeUOBoSPWvA?si=6hk0VD31dytWI23k;KAROL G & Peso Pluma  QLONA (Letra).mp3,
Te Bote Remix;Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna;Single;2018;https://i1.sndcdn.com/artworks-000333798342-m5c30t-t500x500.jpg;https://open.spotify.com/embed/track/3V8UKqhEK5zBkBb6d6ub8i?utm_source=generator;https://www.youtube.com/embed/9jI-z9QN6g8?si=wa9tAfy2a0g98oyD;Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna - Te Bote Remix (Video Oficial).mp3,
